N,Q,A,TRI,OD
6.31,390.00,1680.85,80.00,2.00
6.38,390.00,1876.65,80.00,2.00
6.44,390.00,1899.88,80.00,2.00
6.56,390.00,1900.11,80.00,2.00
6.62,390.00,1898.77,80.00,2.00
6.63,390.00,1897.73,80.00,2.00
6.63,390.00,1897.21,80.00,2.00
6.63,390.00,1897.15,80.00,2.00
6.63,390.00,1897.41,80.00,2.00
6.63,390.00,1897.56,80.00,2.00
6.63,390.00,1897.64,80.00,2.00
6.63,390.00,1897.69,80.00,2.00
6.63,390.00,1897.73,80.00,2.00
6.63,390.00,1897.77,80.00,2.00
6.63,390.00,1897.79,80.00,2.00
6.63,390.00,1897.82,80.00,2.00
6.64,390.00,1897.83,80.00,2.00
6.64,390.00,1897.84,80.00,2.00
6.64,390.00,1897.85,80.00,2.00
6.64,390.00,1897.86,80.00,2.00
6.64,390.00,1897.87,80.00,2.00
6.64,390.00,1897.87,80.00,2.00
6.64,390.00,1897.87,80.00,2.00
6.64,390.00,1897.87,80.00,2.00
6.66,390.00,2297.60,80.00,2.60
6.73,390.00,2294.00,80.00,2.60
6.74,390.00,2290.40,80.00,2.60
6.75,390.00,2287.98,80.00,2.60
6.75,390.00,2286.82,80.00,2.60
6.75,390.00,2285.86,80.00,2.60
6.75,390.00,2285.15,80.00,2.60
6.75,390.00,2284.63,80.00,2.60
6.75,390.00,2284.68,80.00,2.60
6.75,390.00,2283.95,80.00,2.60
6.75,390.00,2283.99,80.00,2.60
6.75,390.00,2283.84,80.00,2.60
6.75,390.00,2283.55,80.00,2.60
6.76,390.00,2283.63,80.00,2.60
6.76,390.00,2283.85,80.00,2.60
6.76,390.00,2283.58,80.00,2.60
6.76,390.00,2283.57,80.00,2.60
6.76,390.00,2283.51,80.00,2.60
6.76,390.00,2283.33,80.00,2.60
6.76,390.00,2283.30,80.00,2.60
6.76,390.00,2283.27,80.00,2.60
6.76,390.00,2283.12,80.00,2.60
6.76,390.00,2283.03,80.00,2.60
6.76,390.00,2283.12,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.75,390.00,2282.79,80.00,2.60
6.71,390.00,2907.07,421.00,2.60
6.54,390.00,2753.25,421.00,2.60
6.52,390.00,2751.01,421.00,2.60
6.52,390.00,2747.72,421.00,2.60
6.52,390.00,2744.89,421.00,2.60
6.53,390.00,2742.93,421.00,2.60
6.53,390.00,2741.56,421.00,2.60
6.53,390.00,2740.54,421.00,2.60
6.54,390.00,2739.80,421.00,2.60
6.54,390.00,2739.25,421.00,2.60
6.54,390.00,2738.79,421.00,2.60
6.54,390.00,2738.41,421.00,2.60
6.54,390.00,2738.09,421.00,2.60
6.54,390.00,2737.81,421.00,2.60
6.54,390.00,2737.58,421.00,2.60
6.54,390.00,2737.36,421.00,2.60
6.55,390.00,2737.16,421.00,2.60
6.55,390.00,2736.98,421.00,2.60
6.55,390.00,2736.80,421.00,2.60
6.55,390.00,2736.64,421.00,2.60
6.55,390.00,2736.49,421.00,2.60
6.55,390.00,2736.34,421.00,2.60
6.55,390.00,2736.20,421.00,2.60
6.55,390.00,2736.07,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2732.59,421.00,2.60
6.54,390.00,2887.69,600.00,2.60
6.58,390.00,2873.44,600.00,2.60
6.66,390.00,2869.30,600.00,2.60
6.71,390.00,2864.36,600.00,2.60
6.74,390.00,2860.50,600.00,2.60
6.76,390.00,2857.72,600.00,2.60
6.77,390.00,2855.70,600.00,2.60
6.78,390.00,2854.55,600.00,2.60
6.79,390.00,2853.58,600.00,2.60
6.79,390.00,2852.85,600.00,2.60
6.79,390.00,2852.31,600.00,2.60
6.80,390.00,2851.83,600.00,2.60
6.80,390.00,2851.62,600.00,2.60
6.80,390.00,2851.40,600.00,2.60
6.80,390.00,2851.20,600.00,2.60
6.80,390.00,2851.06,600.00,2.60
6.80,390.00,2850.93,600.00,2.60
6.80,390.00,2850.82,600.00,2.60
6.80,390.00,2850.73,600.00,2.60
6.80,390.00,2850.64,600.00,2.60
6.80,390.00,2850.57,600.00,2.60
6.80,390.00,2850.50,600.00,2.60
6.80,390.00,2850.44,600.00,2.60
6.80,390.00,2850.38,600.00,2.60
6.80,390.00,2760.64,600.00,2.60
6.77,390.00,2626.79,600.00,2.60
6.66,390.00,2490.27,600.00,2.60
6.49,390.00,2356.76,600.00,2.60
6.28,390.00,2224.34,600.00,2.60
6.05,390.00,2103.91,600.00,2.60
5.80,390.00,1987.19,600.00,2.60
5.54,390.00,1878.92,600.00,2.60
5.27,390.00,1772.37,600.00,2.60
5.00,390.00,1671.70,600.00,2.60
4.70,390.00,1582.16,600.00,2.60
4.40,390.00,1496.43,600.00,2.60
4.08,390.00,1462.40,600.00,2.60
3.73,390.00,1425.05,600.00,2.60
3.38,390.00,1433.82,600.00,2.60
3.16,390.00,1401.56,600.00,2.60
3.08,390.00,1425.69,600.00,2.60
3.04,390.00,1434.55,600.00,2.60
3.02,390.00,1419.23,600.00,2.60
3.00,390.00,1415.66,600.00,2.60
2.99,390.00,1295.50,600.00,2.60
2.98,390.00,1384.35,600.00,2.60
2.97,390.00,1347.06,600.00,2.60
2.96,390.00,1297.84,600.00,2.60
2.94,390.00,1362.77,600.00,2.60
2.95,390.00,1320.67,600.00,2.60
2.95,390.00,1281.83,600.00,2.60
2.95,390.00,1246.84,600.00,2.60
2.94,390.00,1215.79,600.00,2.60
2.93,390.00,1188.57,600.00,2.60
2.92,390.00,1165.21,600.00,2.60
2.91,390.00,1294.42,600.00,2.60
2.91,390.00,1281.58,600.00,2.60
2.94,390.00,1107.71,600.00,2.60
2.94,390.00,1232.55,600.00,2.60
2.93,390.00,1289.88,600.00,2.60
2.95,390.00,1277.02,600.00,2.60
2.97,390.00,1270.53,600.00,2.60
2.98,390.00,1260.15,600.00,2.60
2.99,390.00,1236.73,600.00,2.60
2.99,390.00,1194.38,600.00,2.60
2.99,390.00,1099.91,600.00,2.60
3.00,390.00,1056.96,600.00,2.60
2.96,390.00,1162.17,600.00,2.60
2.98,390.00,1273.87,600.00,2.60
2.98,390.00,1217.14,600.00,2.60
2.99,390.00,1131.91,600.00,2.60
3.00,390.00,1207.71,600.00,2.60
3.00,390.00,1163.68,600.00,2.60
3.01,390.00,1223.78,600.00,2.60
3.00,390.00,1212.69,600.00,2.60
3.01,390.00,1173.46,600.00,2.60
3.01,390.00,1330.79,600.00,2.60
3.01,390.00,1180.45,600.00,2.60
3.01,390.00,1164.77,600.00,2.60
3.02,390.00,1160.49,600.00,2.60
3.03,390.00,1132.49,600.00,2.60
3.03,390.00,1106.07,600.00,2.60
3.02,390.00,1081.16,600.00,2.60
3.02,390.00,1153.97,600.00,2.60
3.02,390.00,1155.55,600.00,2.60
3.03,390.00,1117.03,600.00,2.60
3.03,390.00,1141.12,600.00,2.60
3.04,390.00,1110.22,600.00,2.60
3.04,390.00,1133.70,600.00,2.60
3.04,390.00,1119.98,600.00,2.60
3.04,390.00,1135.40,600.00,2.60
3.05,390.00,1091.42,600.00,2.60
3.05,390.00,1126.48,600.00,2.60
3.05,390.00,1117.39,600.00,2.60
3.05,390.00,1109.20,600.00,2.60
3.05,390.00,1122.22,600.00,2.60
3.05,390.00,1073.05,600.00,2.60
3.05,390.00,1083.75,600.00,2.60
3.06,390.00,1088.39,600.00,2.60
3.06,390.00,1091.03,600.00,2.60
3.06,390.00,1093.22,600.00,2.60
3.06,390.00,1065.99,600.00,2.60
3.06,390.00,1101.26,600.00,2.60
3.06,390.00,1069.23,600.00,2.60
3.07,390.00,1078.49,600.00,2.60
3.07,390.00,1065.40,600.00,2.60
3.07,390.00,1071.97,600.00,2.60
3.07,390.00,1071.28,600.00,2.60
3.07,390.00,1073.96,600.00,2.60
3.07,390.00,1069.65,600.00,2.60
3.07,390.00,1054.47,600.00,2.60
3.07,390.00,1064.84,600.00,2.60
3.07,390.00,1101.53,600.00,2.60
3.08,390.00,1002.08,600.00,2.60
3.08,390.00,1015.06,600.00,2.60
3.08,390.00,1047.68,600.00,2.60
3.08,390.00,1038.26,600.00,2.60
3.08,390.00,1038.80,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.08,390.00,1039.02,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.09,390.00,1030.91,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.10,390.00,1023.86,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,998.56,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.12,390.00,976.25,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.13,390.00,963.95,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.14,390.00,1001.31,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.15,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.16,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,1007.78,600.00,2.60
3.17,390.00,895.40,421.00,2.60
3.14,390.00,885.89,421.00,2.60
3.09,390.00,887.25,421.00,2.60
3.05,390.00,906.06,421.00,2.60
3.03,390.00,926.80,421.00,2.60
3.01,390.00,896.39,421.00,2.60
3.00,390.00,867.57,421.00,2.60
2.99,390.00,862.74,421.00,2.60
2.98,390.00,889.43,421.00,2.60
2.98,390.00,948.44,421.00,2.60
4.70,390.00,1582.16,421.00,2.60
4.40,390.00,1496.43,421.00,2.60
4.08,390.00,1462.40,421.00,2.60
3.73,390.00,1425.05,421.00,2.60
3.38,390.00,1433.82,421.00,2.60
3.16,390.00,1401.56,421.00,2.60
3.08,390.00,1425.69,421.00,2.60
3.04,390.00,1434.55,421.00,2.60
3.02,390.00,1419.23,421.00,2.60
3.00,390.00,1415.66,421.00,2.60
2.97,390.00,912.11,421.00,2.60
2.97,390.00,885.49,421.00,2.60
2.97,390.00,943.22,421.00,2.60
2.97,390.00,907.65,421.00,2.60
2.97,390.00,646.73,80.00,2.60
2.93,390.00,771.79,80.00,2.60
2.78,390.00,779.02,80.00,2.60
2.69,390.00,786.78,80.00,2.60
2.65,390.00,792.75,80.00,2.60
2.63,390.00,797.18,80.00,2.60
2.61,390.00,800.37,80.00,2.60
2.60,390.00,802.83,80.00,2.60
2.60,390.00,804.76,80.00,2.60
2.59,390.00,806.22,80.00,2.60
2.59,390.00,807.40,80.00,2.60
2.59,390.00,808.31,80.00,2.60
2.59,390.00,809.09,80.00,2.60
2.59,390.00,809.76,80.00,2.60
2.59,390.00,810.11,80.00,2.60
2.59,390.00,810.85,80.00,2.60
2.59,390.00,811.30,80.00,2.60
2.59,390.00,811.76,80.00,2.60
2.59,390.00,811.96,80.00,2.60
2.59,390.00,812.57,80.00,2.60
2.59,390.00,813.15,80.00,2.60
2.59,390.00,813.50,80.00,2.60
2.59,390.00,813.52,80.00,2.60
2.59,390.00,813.71,80.00,2.60
2.58,390.00,611.53,80.00,2.00
2.54,390.00,614.88,80.00,2.00
2.53,390.00,616.36,80.00,2.00
2.53,390.00,617.48,80.00,2.00
2.53,390.00,618.21,80.00,2.00
2.53,390.00,619.04,80.00,2.00
2.53,390.00,619.63,80.00,2.00
2.53,390.00,620.18,80.00,2.00
2.53,390.00,620.64,80.00,2.00
2.53,390.00,621.03,80.00,2.00
2.53,390.00,621.38,80.00,2.00
2.53,390.00,621.74,80.00,2.00
2.53,390.00,621.79,80.00,2.00
2.53,390.00,622.38,80.00,2.00
2.53,390.00,622.69,80.00,2.00
2.53,390.00,622.92,80.00,2.00
2.53,390.00,623.23,80.00,2.00
2.53,390.00,623.23,80.00,2.00
2.53,390.00,623.69,80.00,2.00
2.52,390.00,623.89,80.00,2.00
2.52,390.00,624.20,80.00,2.00
2.52,390.00,624.47,80.00,2.00
2.52,390.00,624.88,80.00,2.00
2.52,390.00,624.91,80.00,2.00
2.52,390.00,665.82,421.00,2.00
2.51,390.00,588.56,421.00,2.00
2.57,390.00,578.05,421.00,2.00
2.61,390.00,620.54,421.00,2.00
2.64,390.00,567.40,421.00,2.00
2.66,390.00,613.42,421.00,2.00
2.66,390.00,615.81,421.00,2.00
2.67,390.00,616.85,421.00,2.00
2.69,390.00,617.14,421.00,2.00
2.70,390.00,596.63,421.00,2.00
2.70,390.00,597.09,421.00,2.00
2.71,390.00,584.00,421.00,2.00
2.71,390.00,585.40,421.00,2.00
2.71,390.00,610.10,421.00,2.00
2.71,390.00,604.81,421.00,2.00
2.72,390.00,585.53,421.00,2.00
2.72,390.00,582.12,421.00,2.00
2.72,390.00,621.72,421.00,2.00
2.72,390.00,598.01,421.00,2.00
2.72,390.00,583.28,421.00,2.00
2.72,390.00,549.69,421.00,2.00
2.72,390.00,542.76,421.00,2.00
2.72,390.00,600.15,421.00,2.00
2.72,390.00,592.19,421.00,2.00
2.72,390.00,586.93,600.00,2.00
2.76,390.00,586.19,600.00,2.00
2.81,390.00,593.66,600.00,2.00
2.85,390.00,580.43,600.00,2.00
2.87,390.00,601.64,600.00,2.00
2.89,390.00,590.72,600.00,2.00
2.90,390.00,587.22,600.00,2.00
2.91,390.00,592.37,600.00,2.00
2.91,390.00,588.58,600.00,2.00
2.92,390.00,566.29,600.00,2.00
2.92,390.00,577.92,600.00,2.00
2.93,390.00,575.54,600.00,2.00
2.93,390.00,581.72,600.00,2.00
2.93,390.00,549.36,600.00,2.00
2.93,390.00,575.00,600.00,2.00
2.93,390.00,576.78,600.00,2.00
2.93,390.00,578.65,600.00,2.00
2.93,390.00,578.14,600.00,2.00
2.93,390.00,596.73,600.00,2.00
2.93,390.00,595.93,600.00,2.00
2.93,390.00,572.53,600.00,2.00
2.93,390.00,573.10,600.00,2.00
2.93,390.00,572.17,600.00,2.00
2.93,390.00,568.46,600.00,2.00
2.90,390.00,11.77,600.00,0.80
2.71,390.00,18.95,600.00,0.80
2.57,390.00,22.93,600.00,0.80
2.47,390.00,26.36,600.00,0.80
2.41,390.00,29.16,600.00,0.80
2.36,390.00,31.38,600.00,0.80
2.33,390.00,33.15,600.00,0.80
2.30,390.00,34.54,600.00,0.80
2.29,390.00,35.63,600.00,0.80
2.28,390.00,36.50,600.00,0.80
2.27,390.00,37.21,600.00,0.80
2.26,390.00,37.79,600.00,0.80
2.26,390.00,38.27,600.00,0.80
2.26,390.00,38.45,600.00,0.80
2.25,390.00,38.40,600.00,0.80
2.25,390.00,38.35,600.00,0.80
2.25,390.00,38.30,600.00,0.80
2.25,390.00,38.29,600.00,0.80
2.25,390.00,38.32,600.00,0.80
2.25,390.00,38.42,600.00,0.80
2.25,390.00,38.60,600.00,0.80
2.25,390.00,38.86,600.00,0.80
2.24,390.00,39.22,600.00,0.80
2.24,390.00,39.70,600.00,0.80
2.24,390.00,129.23,421.00,0.80
2.23,390.00,133.56,421.00,0.80
2.20,390.00,135.20,421.00,0.80
2.19,390.00,133.08,421.00,0.80
2.18,390.00,139.38,421.00,0.80
2.17,390.00,134.63,421.00,0.80
2.17,390.00,141.90,421.00,0.80
2.16,390.00,133.99,421.00,0.80
2.16,390.00,138.44,421.00,0.80
2.16,390.00,137.32,421.00,0.80
2.16,390.00,137.08,421.00,0.80
2.16,390.00,136.87,421.00,0.80
2.16,390.00,135.67,421.00,0.80
2.16,390.00,139.46,421.00,0.80
2.15,390.00,138.32,421.00,0.80
2.15,390.00,137.11,421.00,0.80
2.15,390.00,136.14,421.00,0.80
2.15,390.00,135.34,421.00,0.80
2.15,390.00,134.70,421.00,0.80
2.15,390.00,134.23,421.00,0.80
2.15,390.00,133.91,421.00,0.80
2.15,390.00,133.75,421.00,0.80
2.15,390.00,133.75,421.00,0.80
2.15,390.00,138.10,421.00,0.80
2.15,390.00,252.83,80.00,0.80
2.18,390.00,314.56,80.00,0.80
2.23,390.00,320.17,80.00,0.80
2.28,390.00,322.61,80.00,0.80
2.30,390.00,323.78,80.00,0.80
2.30,390.00,324.60,80.00,0.80
2.30,390.00,325.23,80.00,0.80
2.31,390.00,325.92,80.00,0.80
2.31,390.00,326.31,80.00,0.80
2.31,390.00,326.96,80.00,0.80
2.16,390.00,137.08,80.00,0.80
2.16,390.00,136.87,80.00,0.80
2.16,390.00,135.67,80.00,0.80
2.16,390.00,139.46,80.00,0.80
2.15,390.00,138.32,80.00,0.80
2.15,390.00,137.11,80.00,0.80
2.15,390.00,136.14,80.00,0.80
2.15,390.00,135.34,80.00,0.80
2.15,390.00,134.70,80.00,0.80
2.15,390.00,134.23,80.00,0.80
2.31,390.00,330.47,80.00,0.80
2.31,390.00,330.72,80.00,0.80
2.31,390.00,330.96,80.00,0.80
2.31,390.00,331.20,80.00,0.80
2.29,230.00,324.72,80.00,0.80
2.28,230.00,317.93,80.00,0.80
2.27,230.00,309.87,80.00,0.80
2.25,230.00,301.57,80.00,0.80
